"Blazing Saddles", "Unclassified"
"Dead Zone, The", "Unclassified"
"Fahrenheit 451", "Unclassified"
"Return of the Jedi", "Unclassified"
"Beyond the Valley of the Dolls", "Unclassified"
"Do The Right Thing", "Unclassified"
"Maxx, The", "Animated TV Series"
"Wise Blood", "Unclassified"
"Naked", "Unclassified"
"Mondo Bizarro", "Documentary"
"Amityville 3-D", "Unclassified"
"Boyz 'N The Hood", "Unclassified"
"Omega Man, The", "Unclassified"
"Omen III: The Final Conflict", "Unclassified"
"Re-animator", "Unclassified"
"Reflecting Skin, The", "Unclassified"
"Ren & Stimpy", "TV Show"
"Star Trek: The Motion Picture", "Unclassified"
"Carnival of Souls", "Unclassified"
"Dragnet 1967", "TV Series"
"Enemy of the State", "Unclassified"
"For All Mankind", "Documentary"
"Omen, The", "Unclassified"
"Helter Skelter", "Unclassified"
"Death Machine", "Unclassified"
"Pirkle, Estus", "Reverend"
"StarCraft", "Video Game"
"Jurassic Park", "Unclassified"
"Lost Boys, The", "Unclassified"
"Lost Highway", "Unclassified"
"Pit and the Pendulum, The", "1990"
"Bad Boy Bubby", "Unclassified"
"Ghost Dog: The Way of the Samurai", "Unclassified"
"Ghost in the Shell", "Unclassified"
"Serpent and the Rainbow, The", "Unclassified"
"Shane", "Unclassified"
"Rage In Harlem, A", "Unclassified"
"Alphaville", "Unclassified"
"Hated", "Unclassified"
"Bad Lieutenant", "Unclassified"
"Big Lebowski, The", "Unclassified"
"Blues Brothers, The", "Unclassified"
"Clay, Andrew Dice", "Comedian"
"Coming To America", "Unclassified"
"Halloween III: Season of the Witch", "Unclassified"
"In the Line of Fire", "Unclassified"
"Journey Into Stereo Sound, A", "Record"
"Tetsuo: The Iron Man", "Unclassified"
"Thatcher, Margaret", "Prime Minister"
"Wild Style", "Unclassified"
"Withnail and I", "Unclassified"
"Captain Scarlett", "Unclassified"
"Truman, Harry S.", "President"
"Batman Forever", "Unclassified"
"Blood Sucking Freaks", "Unclassified"
"Bundy, Ted", "Killer"
"Carlito's Way", "Unclassified"
"Cool Hand Luke", "Unclassified"
"Deep Cover", "Unclassified"
"Drugstore Cowboy", "Unclassified"
"I Drink Your Blood", "Unclassified"
"Leon", "Unclassified"
"Let Sleeping Corpses Lie", "Unclassified"
"Lost In Space", "TV Series"
"Lucas, Henry Lee", "Serial Killer"
"Poltergeist", "Unclassified"
"Road Warrior, The", "Unclassified"
"Saturday Night Live", "TV Show"
"Star Trek: Generations", "Unclassified"
"Sudden Impact", "Unclassified"
"Twilight Zone: The Movie", "Unclassified"
"Wild at Heart", "Unclassified"
"Gimme Shelter", "Documentary"
"Blair Witch Project, The", "Unclassified"
"Boy and His Dog, A", "Unclassified"
"Colossus: The Forbin Project", "Unclassified"
"Los Angeles Riots", "News Coverage"
"Schellbach, Oscar", "Guru"
"Usual Suspects, The", "Unclassified"
"House of Games", "Unclassified"
"Daughters of Darkness", "Unclassified"
"Frankenstein", "Unclassified"
"Liquid Sky", "Unclassified"
"Space: 1999", "TV Series"
"Trick or Treat", "Unclassified"
"Beavis and Butthead", "TV Series"
"Five Heartbeats, The", "Unclassified"
"Pump Up the Volume", "Unclassified"
"SLC Punk", "Unclassified"
"Hagee, John", "Minister"
"Mortal Kombat", "Unclassified"
"American Me", "Unclassified"
"Billy Madison", "Unclassified"
"Church, The", "Unclassified"
"Dead Presidents", "Unclassified"
"Death Wish", "Unclassified"
"Gattaca", "Unclassified"
"Hamburger Hill", "Unclassified"
"Matter of Life and Death, A", "Unclassified"
"Midnight Express", "Unclassified"
"8mm", "Unclassified"
"Batman Returns", "Unclassified"
"Blade", "Unclassified"
"CNN", "TV Channel"
"Kinski, Klaus", "Actor"
"Scent of a Woman", "Unclassified"
"Thin Red Line, The", "Unclassified"
"Fire Birds", "Unclassified"
"Last Tango in Paris", "Unclassified"
"Rawhead Rex", "Unclassified"
"All American Murder", "Unclassified"
"German Commercials", "Commercial"
"Heino", "Singer"
"Lübke, Heinrich", "Politican"
"Harvester", "Video Game"
"Perry Mason", "TV Series"
"Water, Water Every Hare", "Cartoon"
"Bad Seed, The", "Unclassified"
"Big Bang, The", "Unclassified"
"Caligula", "Unclassified"
"Cell, The", "Unclassified"
"Good, the Bad and the Ugly, The", "Unclassified"
"Paradise Lost", "Documentary"
"Phantom Menace, The", "Unclassified"
"Sesame Street", "TV Series"
"Tenebre", "Unclassified"
"War at Home, The", "Documentary"
"Brotherhood of Satan", "Unclassified"
"Fireman Sam", "Animation"
"Midnight Cowboy", "Unclassified"
"Legacy of Kain: Soul Reaver", "Game"
"Demolition Man", "Unclassified"
"Earth vs. the Flying Saucers", "Unclassified"
"Hindenburg", "Catastrophy"
"Running Man, The", "Unclassified"
"Night Gallery", "TV Series"
"Berkowitz, David", "Killer"
"Skippy Awards, The", "TV Show"
"Bennett-Speed, Carolyn", "Radio Host"
"From The Heart of the World", "Unclassified"
"Murray, Les", "Sports Commentator"
"Pit and the Pendulum, The", "1961"
"Carrie", "Unclassified"
"Coffy", "Unclassified"
"Entity, The", "Unclassified"
"King of Comedy, The", "Unclassified"
"Omega Code, The", "Unclassified"
"Sneakers", "Unclassified"
"Time Bandits", "Unclassified"
"Avengers, The", "TV Show"
"Boogie Nights", "Unclassified"
"Bride, The", "Unclassified"
"Virgin Among the Living Dead", "Unclassified"
"Things to Come", "Unclassified"
"Top of the Pops", "TV Show"
"Violent Years, The", "Unclassified"
"Absolutely Fabulous", "TV show"
"Airplane!", "Unclassified"
"Beetlejuice", "Unclassified"
"Biafra, Jello", "Artist"
"Black Hole, The", "Unclassified"
"Boondock Saints, The", "Unclassified"
"Bruce, Lenny", "Comedian"
"Communion", "Unclassified"
"Eaten Alive", "Unclassified"
"End of Days", "Unclassified"
"Fat Albert & The Cosby Kids", "Cartoon"
"Fellowship Of The Ring, The", "Unclassified"
"Fist Of The North Star", "Unclassified"
"Fog, The", "Unclassified"
"Foxx, Redd", "Comedian"
"Fugitive, The", "Unclassified"
"Gladiator", "Unclassified"
"Halloween", "Unclassified"
"Hollywood Chainsaw Hookers", "Unclassified"
"I Spit on Your Grave", "Unclassified"
"Impossible Mission", "Computer Game"
