"Andromeda Strain, The","Unknown","Unknown"
"MTV","TV Channel","Unknown"
"Shogun Assassin","Unknown","Unknown"
"Addiction, The","Unknown","Unknown"
"Army of Darkness","Unknown","Unknown"
"Cops","TV Series","Unknown"
"From Dusk Till Dawn","Unknown","Unknown"
"Lawnmower Man, The","Unknown","Unknown"
"Larson, Bob","Evangelist","Unknown"
"Speed Racer","TV Show","Unknown"
"Empire Strikes Back, The","Unknown","Unknown"
"Hawking, Stephen","Scientist","Unknown"
"Heathers","Unknown","Unknown"
"House by the Cemetery","Unknown","Unknown"
"Scanners","Unknown","Unknown"
"Muhammad, Khalid Abdul","Spokesman","Unknown"
"Trip, The","Unknown","Unknown"
"Max Headroom","TV Show","Unknown"
"Tenant, The","Unknown","Unknown"
"Close Encounters of the Third Kind","Unknown","Unknown"
"Dragnet","TV Series","Unknown"
"Fight Club","Unknown","Unknown"
"Reefer Madness","Unknown","Unknown"
"Right Stuff, The","Unknown","Unknown"
"Strange Days","Unknown","Unknown"
"Swaggart, Jimmy","Minister","Unknown"
"Swaggart, Jimmy","Minister","Unknown"
"Suspiria","Unknown","Unknown"
"Bad Taste","Unknown","Unknown"
"Night of the Demon","Unknown","Unknown"
"Batman","Unknown","Unknown"
"Cannibal Ferox","Unknown","Unknown"
"Crowley, Aleister","Occultist","Unknown"
"If...","Unknown","Unknown"
"Mack, The","Unknown","Unknown"
"Monty Python's Flying Circus","TV","Unknown"
"Nemesis","Unknown","Unknown"
"Oppenheimer, Robert","Scientist","Unknown"
"Psycho","Unknown","Unknown"
"Texas Chainsaw Massacre, The","Unknown","Unknown"
"Weird World of LSD, The","Unknown","Unknown"
"Wizard of Oz, The","Unknown","Unknown"
"Tron","Unknown","Unknown"
"Dragnet","Unknown","Unknown"
"Vietnam Requiem","Documentary","Unknown"
"Bedazzled","1967","Unknown"
"Churchill, Winston","Prime Minister","Unknown"
"Kafka","Unknown","Unknown"
"Monroe, Marilyn","Actress","Unknown"
"Near Dark","Unknown","Unknown"
"Flintstones, The","TV Series","Unknown"
"New Jack City","Unknown","Unknown"
"Paul II, John","Pope","Unknown"
"Starship Troopers","Unknown","Unknown"
"Cannibal Holocaust","Unknown","Unknown"
"Cemetery Man","Unknown","Unknown"
"Jungle Book, The","Animation","Unknown"
"Star Trek IV: The Voyage Home","Unknown","Unknown"
"Zombie","Unknown","Unknown"
"Blazing Saddles","Unknown","Unknown"
"Dead Zone, The","Unknown","Unknown"
"Fahrenheit 451","Unknown","Unknown"
"Return of the Jedi","Unknown","Unknown"
"Beyond the Valley of the Dolls","Unknown","Unknown"
"Do The Right Thing","Unknown","Unknown"
"Maxx, The","Animated TV Series","Unknown"
"Wise Blood","Unknown","Unknown"
"Naked","Unknown","Unknown"
"Mondo Bizarro","Documentary","Unknown"
"Amityville 3-D","Unknown","Unknown"
"Boyz 'N The Hood","Unknown","Unknown"
"Omega Man, The","Unknown","Unknown"
"Omen III: The Final Conflict","Unknown","Unknown"
"Re-animator","Unknown","Unknown"
"Reflecting Skin, The","Unknown","Unknown"
"Ren & Stimpy","TV Show","Unknown"
"Star Trek: The Motion Picture","Unknown","Unknown"
"Carnival of Souls","Unknown","Unknown"
"Dragnet 1967","TV Series","Unknown"
"Enemy of the State","Unknown","Unknown"
"For All Mankind","Documentary","Unknown"
"Omen, The","Unknown","Unknown"
"Helter Skelter","Unknown","Unknown"
"Death Machine","Unknown","Unknown"
"Pirkle, Estus","Reverend","Unknown"
"StarCraft","Video Game","Unknown"
"Jurassic Park","Unknown","Unknown"
"Lost Boys, The","Unknown","Unknown"
"Lost Highway","Unknown","Unknown"
"Pit and the Pendulum, The","1990","Unknown"
"Bad Boy Bubby","Unknown","Unknown"
"Ghost Dog: The Way of the Samurai","Unknown","Unknown"
"Ghost in the Shell","Unknown","Unknown"
"Serpent and the Rainbow, The","Unknown","Unknown"
"Shane","Unknown","Unknown"
"Rage In Harlem, A","Unknown","Unknown"
"Alphaville","Unknown","Unknown"
"Hated","Unknown","Unknown"
"Bad Lieutenant","Unknown","Unknown"
"Big Lebowski, The","Unknown","Unknown"
"Blues Brothers, The","Unknown","Unknown"
"Clay, Andrew Dice","Comedian","Unknown"
"Coming To America","Unknown","Unknown"
"Halloween III: Season of the Witch","Unknown","Unknown"
"In the Line of Fire","Unknown","Unknown"
"Journey Into Stereo Sound, A","Record","Unknown"
"Tetsuo: The Iron Man","Unknown","Unknown"
"Thatcher, Margaret","Prime Minister","Unknown"
"Wild Style","Unknown","Unknown"
"Withnail and I","Unknown","Unknown"
"Captain Scarlett","Unknown","Unknown"
"Truman, Harry S.","President","Unknown"
"Batman Forever","Unknown","Unknown"
"Blood Sucking Freaks","Unknown","Unknown"
"Bundy, Ted","Killer","Unknown"
"Carlito's Way","Unknown","Unknown"
"Cool Hand Luke","Unknown","Unknown"
"Deep Cover","Unknown","Unknown"
"Drugstore Cowboy","Unknown","Unknown"
"I Drink Your Blood","Unknown","Unknown"
"Leon","Unknown","Unknown"
"Let Sleeping Corpses Lie","Unknown","Unknown"
"Lost In Space","TV Series","Unknown"
"Lucas, Henry Lee","Serial Killer","Unknown"
"Poltergeist","Unknown","Unknown"
"Road Warrior, The","Unknown","Unknown"
"Saturday Night Live","TV Show","Unknown"
"Star Trek: Generations","Unknown","Unknown"
"Sudden Impact","Unknown","Unknown"
"Twilight Zone: The Movie","Unknown","Unknown"
"Wild at Heart","Unknown","Unknown"
"Gimme Shelter","Documentary","Unknown"
"Blair Witch Project, The","Unknown","Unknown"
"Boy and His Dog, A","Unknown","Unknown"
"Colossus: The Forbin Project","Unknown","Unknown"
"Los Angeles Riots","News Coverage","Unknown"
"Schellbach, Oscar","Guru","Unknown"
"Usual Suspects, The","Unknown","Unknown"
"House of Games","Unknown","Unknown"
"Daughters of Darkness","Unknown","Unknown"
"Frankenstein","Unknown","Unknown"
"Liquid Sky","Unknown","Unknown"
"Space: 1999","TV Series","Unknown"
"Trick or Treat","Unknown","Unknown"
"Beavis and Butthead","TV Series","Unknown"
"Five Heartbeats, The","Unknown","Unknown"
"Pump Up the Volume","Unknown","Unknown"
"SLC Punk","Unknown","Unknown"
"Hagee, John","Minister","Unknown"
"Mortal Kombat","Unknown","Unknown"
"American Me","Unknown","Unknown"
"Billy Madison","Unknown","Unknown"
"Church, The","Unknown","Unknown"
"Dead Presidents","Unknown","Unknown"
"Death Wish","Unknown","Unknown"
"Gattaca","Unknown","Unknown"
"Hamburger Hill","Unknown","Unknown"
"Matter of Life and Death, A","Unknown","Unknown"
"Midnight Express","Unknown","Unknown"
"8mm","Unknown","Unknown"
"Batman Returns","Unknown","Unknown"
"Blade","Unknown","Unknown"
"CNN","TV Channel","Unknown"
"Kinski, Klaus","Actor","Unknown"
"Scent of a Woman","Unknown","Unknown"
"Thin Red Line, The","Unknown","Unknown"
"Fire Birds","Unknown","Unknown"
"Last Tango in Paris","Unknown","Unknown"
"Rawhead Rex","Unknown","Unknown"
"All American Murder","Unknown","Unknown"
"German Commercials","Commercial","Unknown"
"Heino","Singer","Unknown"
"Lübke, Heinrich","Politican","Unknown"
"Harvester","Video Game","Unknown"
"Perry Mason","TV Series","Unknown"
"Water, Water Every Hare","Cartoon","Unknown"
"Bad Seed, The","Unknown","Unknown"
"Big Bang, The","Unknown","Unknown"
"Caligula","Unknown","Unknown"
"Cell, The","Unknown","Unknown"
"Good, the Bad and the Ugly, The","Unknown","Unknown"
"Paradise Lost","Documentary","Unknown"
"Phantom Menace, The","Unknown","Unknown"
"Sesame Street","TV Series","Unknown"
"Tenebre","Unknown","Unknown"
"War at Home, The","Documentary","Unknown"
"Brotherhood of Satan","Unknown","Unknown"
"Fireman Sam","Animation","Unknown"
"Midnight Cowboy","Unknown","Unknown"
